Designator,Mid X,Mid Y,Layer,Rotation
Q1,170.805mm,72.2mm,Bottom,90.0
R1,178.305mm,64.7mm,Bottom,0.0
R2,178.805mm,69.7mm,Bottom,90.0
BRD1,242.450001mm,83.175mm,Top,180.0
C1,63.48mm,15.17375mm,Top,90.0
C2,62.88mm,11.97375mm,Top,270.0
C3,45.235499mm,28.709986mm,Top,180.0
C4,48.735499mm,28.709986mm,Top,0.0
F1,296.5mm,78.0mm,Top,270.0
F2,175.0mm,94.7mm,Top,180.0
F3,175.0mm,90.3mm,Top,180.0
F4,223.5mm,77.5mm,Top,270.0
F5,175.0mm,85.9mm,Top,180.0
F6,37.5mm,76.96mm,Top,270.0
F7,43.0mm,76.96mm,Top,270.0
F8,48.4mm,76.96mm,Top,270.0
G1,91.44mm,33.02mm,Top,90.0
G2,83.82mm,45.72mm,Top,90.0
G3,91.44mm,45.72mm,Top,90.0
G4,76.2mm,33.02mm,Top,90.0
G5,91.44mm,25.4mm,Top,180.0
G6,83.82mm,33.02mm,Top,90.0
G7,76.2mm,45.72mm,Top,90.0
J1,16.0mm,80.5mm,Top,90.0
J2,16.0mm,55.0mm,Top,90.0
J3,298.7mm,45.875mm,Top,270.0
J4,11.5mm,74.0mm,Top,270.0
J5,11.5mm,99.5mm,Top,270.0
J6,11.5mm,48.5mm,Top,270.0
J7,338.5mm,11.5mm,Top,90.0
J8,104.5mm,101.796mm,Top,0.0
J9,246.2mm,101.796mm,Top,0.0
J10,338.5mm,40.0mm,Top,90.0
J13,298.7mm,17.25mm,Top,270.0
J16,338.5mm,87.0mm,Top,90.0
J17,338.5mm,68.5mm,Top,90.0
J19,11.5mm,34.5mm,Top,270.0
P1,139.0mm,69.0mm,Top,0.0
P2,301.5mm,79.5mm,Top,0.0
P3,283.0mm,76.0mm,Top,0.0
P4,277.0mm,76.0mm,Top,0.0
P5,286.0mm,76.0mm,Top,0.0
P6,283.0mm,80.5mm,Top,0.0
P7,280.0mm,76.0mm,Top,0.0
P8,277.0mm,80.5mm,Top,0.0
P9,274.0mm,76.0mm,Top,0.0
P10,280.0mm,80.5mm,Top,0.0
P11,274.0mm,80.5mm,Top,0.0
