Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
Q1,170.805mm,72.200000mm,Bottom,90.0,170.805mm,72.200000mm
R1,178.305mm,64.700000mm,Bottom,0.0,178.305mm,64.700000mm
R2,178.805mm,69.700000mm,Bottom,90.0,178.805mm,69.700000mm
BRD1,242.450001mm,83.175000mm,Top,180.0,242.450001mm,83.175000mm
C1,63.480000mm,15.173750mm,Top,90.0,63.480000mm,15.173750mm
C2,62.880000mm,11.973750mm,Top,-90.0,62.880000mm,11.973750mm
C3,45.235499mm,28.709986mm,Top,180.0,45.235499mm,28.709986mm
C4,48.735499mm,28.709986mm,Top,0.0,48.735499mm,28.709986mm
F1,296.500000mm,78.000000mm,Top,-90.0,296.500000mm,78.000000mm
F2,175.000000mm,94.700000mm,Top,180.0,175.000000mm,94.700000mm
F3,175.000000mm,90.300000mm,Top,180.0,175.000000mm,90.300000mm
F4,223.500000mm,77.500000mm,Top,-90.0,223.500000mm,77.500000mm
F5,175.000000mm,85.900000mm,Top,180.0,175.000000mm,85.900000mm
F6,37.500000mm,76.960000mm,Top,-90.0,37.500000mm,76.960000mm
F7,43.000000mm,76.960000mm,Top,-90.0,43.000000mm,76.960000mm
F8,48.400000mm,76.960000mm,Top,-90.0,48.400000mm,76.960000mm
G1,91.440000mm,33.020000mm,Top,90.0,91.440000mm,33.020000mm
G2,83.820000mm,45.720000mm,Top,90.0,83.820000mm,45.720000mm
G3,91.440000mm,45.720000mm,Top,90.0,91.440000mm,45.720000mm
G4,76.200000mm,33.020000mm,Top,90.0,76.200000mm,33.020000mm
G5,91.440000mm,25.400000mm,Top,180.0,91.440000mm,25.400000mm
G6,83.820000mm,33.020000mm,Top,90.0,83.820000mm,33.020000mm
G7,76.200000mm,45.720000mm,Top,90.0,76.200000mm,45.720000mm
J1,16.000000mm,80.500000mm,Top,90.0,16.000000mm,80.500000mm
J2,16.000000mm,55.000000mm,Top,90.0,16.000000mm,55.000000mm
J3,298.700000mm,45.875000mm,Top,-90.0,298.700000mm,45.875000mm
J4,11.500000mm,74.000000mm,Top,-90.0,11.500000mm,74.000000mm
J5,11.500000mm,99.500000mm,Top,-90.0,11.500000mm,99.500000mm
J6,11.500000mm,48.500000mm,Top,-90.0,11.500000mm,48.500000mm
J7,338.500000mm,11.500000mm,Top,90.0,338.500000mm,11.500000mm
J8,104.500000mm,101.796000mm,Top,0.0,104.500000mm,101.796000mm
J9,246.200000mm,101.796000mm,Top,0.0,246.200000mm,101.796000mm
J10,338.500000mm,40.000000mm,Top,90.0,338.500000mm,40.000000mm
J13,298.700000mm,17.250000mm,Top,-90.0,298.700000mm,17.250000mm
J16,338.500000mm,87.000000mm,Top,90.0,338.500000mm,87.000000mm
J17,338.500000mm,68.500000mm,Top,90.0,338.500000mm,68.500000mm
J19,11.500000mm,34.500000mm,Top,-90.0,11.500000mm,34.500000mm
M1,288.950000mm,19.825000mm,Top,0.0,288.950000mm,19.825000mm
M2,280.081663mm,63.312498mm,Top,-90.0,280.081663mm,63.312498mm
M3,288.950000mm,48.450000mm,Top,0.0,288.950000mm,48.450000mm
M4,280.081663mm,34.812498mm,Top,-90.0,280.081663mm,34.812498mm
P1,139.000000mm,69.000000mm,Top,0.0,139.000000mm,69.000000mm
P2,301.500000mm,79.500000mm,Top,0.0,301.500000mm,79.500000mm
P3,283.000000mm,76.000000mm,Top,0.0,283.000000mm,76.000000mm
P4,277.000000mm,76.000000mm,Top,0.0,277.000000mm,76.000000mm
P5,286.000000mm,76.000000mm,Top,0.0,286.000000mm,76.000000mm
P6,283.000000mm,80.500000mm,Top,0.0,283.000000mm,80.500000mm
P7,280.000000mm,76.000000mm,Top,0.0,280.000000mm,76.000000mm
P8,277.000000mm,80.500000mm,Top,0.0,277.000000mm,80.500000mm
P9,274.000000mm,76.000000mm,Top,0.0,274.000000mm,76.000000mm
P10,280.000000mm,80.500000mm,Top,0.0,280.000000mm,80.500000mm
P11,274.000000mm,80.500000mm,Top,0.0,274.000000mm,80.500000mm
P12,271.000000mm,80.500000mm,Top,0.0,271.000000mm,80.500000mm
P13,286.000000mm,80.500000mm,Top,0.0,286.000000mm,80.500000mm
P14,261.000000mm,80.500000mm,Top,0.0,261.000000mm,80.500000mm
