Ref,Val,Package,PosX,PosY,Rot,Side
"Q1","ISL9V3040S3S","TO-263-2",-170.805000,72.200000,90.000000,bottom
"R1","22","R0603",-178.305000,64.700000,0.000000,bottom
"R2","DNP","R_2512_6332Metric",-178.805000,69.700000,90.000000,bottom
"BRD1","proteus","proteus",242.450001,83.175000,180.000000,top
"C1","100n","C0603",63.480000,15.173750,90.000000,top
"C2","47p","C0603",62.880000,11.973750,-90.000000,top
"C3","100n","C0603",45.235499,28.709986,180.000000,top
"C4","47p","C0603",48.735499,28.709986,0.000000,top
"F1","Fuse-Pad-Pad","PAD-1206-PAD",296.500000,78.000000,-90.000000,top
"F2","10A","FUSE_8.5x4",175.000000,94.700000,180.000000,top
"F3","10A","FUSE_8.5x4",175.000000,90.300000,180.000000,top
"F4","Fuse-Pad-Pad","PAD-1206-PAD",223.500000,77.500000,-90.000000,top
"F5","10A","FUSE_8.5x4",175.000000,85.900000,180.000000,top
"F6","10A","FUSE_8.5x4",37.500000,76.960000,-90.000000,top
"F7","10A","FUSE_8.5x4",43.000000,76.960000,-90.000000,top
"F8","10A","FUSE_8.5x4",48.400000,76.960000,-90.000000,top
"G1","PROTO_AREA","PROTO_AREA",91.440000,33.020000,90.000000,top
"G2","PROTO_AREA","PROTO_AREA",83.820000,45.720000,90.000000,top
"G3","PROTO_AREA","PROTO_AREA",91.440000,45.720000,90.000000,top
"G4","PROTO_AREA","PROTO_AREA",76.200000,33.020000,90.000000,top
"G5","PROTO_AREA","PROTO_AREA",91.440000,25.400000,180.000000,top
"G6","PROTO_AREA","PROTO_AREA",83.820000,33.020000,90.000000,top
"G7","PROTO_AREA","PROTO_AREA",76.200000,45.720000,90.000000,top
"J1","Conn_01x02","Molex_Mini-Fit_Jr_5569-02A2_2x01_P4.20mm_Horizontal",16.000000,80.500000,90.000000,top
"J2","Conn_01x02","Molex_Mini-Fit_Jr_5569-02A2_2x01_P4.20mm_Horizontal",16.000000,55.000000,90.000000,top
"J3","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",298.700000,45.875000,-90.000000,top
"J4","XH-6AW","JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal",11.500000,74.000000,-90.000000,top
"J5","XH-6AW","JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal",11.500000,99.500000,-90.000000,top
"J6","XH-4AW","JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal",11.500000,48.500000,-90.000000,top
"J7","XH-10AW","JST_XH_S10B-XH-A_1x10_P2.50mm_Horizontal",338.500000,11.500000,90.000000,top
"J8","7-967288-1","TE_7-967288-1",104.500000,101.796000,0.000000,top
"J9","7-967288-1","TE_7-967288-1",246.200000,101.796000,0.000000,top
"J10","XH-10AW","JST_XH_S10B-XH-A_1x10_P2.50mm_Horizontal",338.500000,40.000000,90.000000,top
"J13","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",298.700000,17.250000,-90.000000,top
"J16","XH-6AW","JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal",338.500000,87.000000,90.000000,top
